activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
UBUREZI MU MASHURI ABANZA,uburezi mu mashuri abanza,8510,8510,8510,4,4,Pre-primary and primary education,Pre-primary and primary education,Pre-primary and primary education,8510
ubucuruzi,ubucuruzi,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCURUZI BW'IBIKORESHO BY'UBUHINZI,ubucuruzi bw'ibikoresho by'ubuhinzi,4759,4759,4759,4,4,"Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores",4759
"ITERAMBERE RY,UBUHINZI NUBWOROZI","iterambere ry,ubuhinzi nubworozi",8413,8413,8413,4,4,Regulation of and contribution to more efficient operation of businesses,Regulation of and contribution to more efficient operation of businesses,Regulation of and contribution to more efficient operation of businesses,5555
kogosha abakiriya,kogosha abakiriya,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
ubudandazi bw'inkweto mu isoko,ubudandazi bw'inkweto mu isoko,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
gupima ikigage,gupima ikigage,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
gusana ikweto zangiritse,gusana ikweto zangiritse,9523,9523,9523,4,4, Repair of footwear and leather goods,Repair of footwear and leather goods, Repair of footwear and leather goods,9523
UBWOROZI BW'AMATUNGO,ubworozi bw'amatungo,141,141,141,3,4,Raising of cattle and buffaloes,Raising of cattle and buffaloes,Raising of cattle and buffaloes,141
GUTUBURA IMBUTO,gutubura imbuto,164,164,164,3,4,Seed processing for propagation,Seed processing for propagation,Seed processing for propagation,9999
UBUCUKUZI BWAMABUYE YAGACIRO,ubucukuzi bwamabuye yagaciro,729,729,729,3,4,Mining of other non-ferrous metal ores,Mining of other non-ferrous metal ores,Mining of other non-ferrous metal ores,729
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBUCURUZI BW'IMBOGA NIBIRIBWA BIKE BY'INGENZI(BUDANDAZA),ubucuruzi bw'imboga nibiribwa bike by'ingenzi(budandaza),4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
BAKORA UMURIMO WO KOGOSHA,bakora umurimo wo kogosha,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
TEA FACTORY,tea factory,1079,1079,1079,4,4,Manufacture of other food products n.e.c.,Manufacture of other food products n.e.c.,Manufacture of other food products n.e.c.,1079
BADANDAZA IBYO KURYA KUBURYO BUCIRIRITSE,badandaza ibyo kurya kuburyo buciriritse,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
ubucuruzi budandaza ibintu bita dukanye higanjemo ibiribwa,ubucuruzi budandaza ibintu bita dukanye higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
kuranguza inzoga,kuranguza inzoga,4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
"acuruza boutique yiganjemo imboga, ibirayi","acuruza boutique yiganjemo imboga, ibirayi",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
undandaza bwibiribwa bitandukanye,undandaza bwibiribwa bitandukanye,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
Ubucuruzi budandaza ibiribwa byiganjemo indagara,ubucuruzi budandaza ibiribwa byiganjemo indagara,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
UBUCURUZI UBUCONCO,ubucuruzi ubuconco,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
KOGOSHA,kogosha,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
Kudoda imyenda mishya,kudoda imyenda mishya,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
UBUUINZI BW'IBISHYIMBO,ubuuinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBWOROZI BW'AMATUNGO,ubworozi bw'amatungo,141,141,141,3,4,Raising of cattle and buffaloes,Raising of cattle and buffaloes,Raising of cattle and buffaloes,141
kudanda ipandaro zabagabo,kudanda ipandaro zabagabo,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
ubucuruzi bwa kabari,ubucuruzi bwa kabari,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
Gukora imodoka bakanasana izangiritse,gukora imodoka bakanasana izangiritse,4520,4520,4520,4,4,Maintenance and repair of motor vehicles,Maintenance and repair of motor vehicles,Maintenance and repair of motor vehicles,4520
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
"Ubucuruzi budandaza ibiribwa (ibishyimbo,nifu y'amasaka","ubucuruzi budandaza ibiribwa (ibishyimbo,nifu y'amasaka",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
icyuma kibeta amafu,icyuma kibeta amafu,1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
KUDANDAZA IBIRIBWA MWISOKO,kudandaza ibiribwa mwisoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
UBUHINZI BWOROZI BWO GUTUNGA URUGO,ubuhinzi bworozi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
GUSANA AMAGARE,gusana amagare,9529,9529,9529,4,4,Repair of other personal and household goods,Repair of other personal and household goods,Repair of other personal and household goods,9529
gucuruza ibitenge,gucuruza ibitenge,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
ubucurizi bwo kudadaza ibiribwa ni binyobwa (cateen),ubucurizi bwo kudadaza ibiribwa ni binyobwa (cateen),5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
"kudandaza higanjemo ibirayi,indagara,amandazi,bombo ,ibitunguru","kudandaza higanjemo ibirayi,indagara,amandazi,bombo ,ibitunguru",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
Gucuruza ibyo kunywa bisembuye,gucuruza ibyo kunywa bisembuye,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
KUBIBA AMASAKA,kubiba amasaka,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
ubucuruzi bugabura,ubucuruzi bugabura,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBUHINZI N' UBWOROZI BYO GUTUNGA URUGO,ubuhinzi n'ubworozi byo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
GUCURUZA IKIGAGE,gucuruza ikigage,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
BATUNGANYA INZARA,batunganya inzara,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
IDEPO YA MASAKA,idepo ya masaka,4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
TRANSPORT Y'ABANTU KU BUTAKA,transport y'abantu ku butaka,4921,4921,4921,4,4,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Urban and suburban passenger land transport,4921
"Ubucuruzi budandaza ibiribwa birimo igitoki,ibirayi, ibishyimbo, n'ibindi","ubucuruzi budandaza ibiribwa birimo igitoki,ibirayi, ibishyimbo, n'ibindi",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubucuruzi budandaza bwiganjemo ibiribwa nibinyobwa bisembuye nibidasembuye,ubucuruzi budandaza bwiganjemo ibiribwa nibinyobwa bisembuye nibidasembuye,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBWUBATSI BW'AMAZU,ubwubatsi bw'amazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
Ubudandazi bw'imyenda y'abana yiganjemo udukabutura nu dupira,ubudandazi bw'imyenda y'abana yiganjemo udukabutura nu dupira,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
"ubucuruzi buranguza bukanadandaza higanjemo ibiryamirwa,n'imyenda y'imbere naza essui main","ubucuruzi buranguza bukanadandaza higanjemo ibiryamirwa,n'imyenda y'imbere naza essui main",4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
UBUDOZI BW'IMYENDA ITARI MISHYASHYA NI IMISHYASHYA,ubudozi bw'imyenda itari mishyashya ni imishyashya,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
UBWIKOREZI BWAMAZI KWIGARE,ubwikorezi bwamazi kwigare,4923,4923,4923,4,4,Freight transport by road,Freight transport by road,Freight transport by road,4923
"bacuruza imboga harimo inyanya ,pavron,intoryi,ibirungo by'inyama","bacuruza imboga harimo inyanya ,pavron,intoryi,ibirungo by'inyama",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
gusana imyenda,gusana imyenda,9529,9529,9529,4,4,Repair of other personal and household goods,Repair of other personal and household goods,Repair of other personal and household goods,9529
UBUHINZI BW'IMYUMBATI,ubuhinzi bw'imyumbati,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBWUBATSI BW'AMAZU,ubwubatsi bw'amazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
Gusana imyenda,gusana imyenda,9529,9529,9529,4,4,Repair of other personal and household goods,Repair of other personal and household goods,Repair of other personal and household goods,9529
transport of cargo,transport of cargo,4923,4923,4923,4,4,Freight transport by road,Freight transport by road,Freight transport by road,4923
KUDANDAZA INYAMA MURI BOUCHERIE,kudandaza inyama muri boucherie,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
BAHINGA IMYUMBATI,bahinga imyumbati,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
ubucuruzi bw'imyaka( ibishyimbo n'amasaka),ubucuruzi bw'imyaka( ibishyimbo n'amasaka),4630,4630,4630,4,4,"Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco","Wholesale of food, beverages and tobacco",4630
UBUHINZI BW' IBIHINGWA BITANDUKANYE,ubuhinzi bw'ibihingwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
UBUCURUZI BUDANDAZA IBINTU BITANDUKANYE  HIGANJEMO IBIRIBWA,ubucuruzi budandaza ibintu bitandukanye higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
guha abantu ibyo kurya no kunywa higanjemo imigati y'ingano,guha abantu ibyo kurya no kunywa higanjemo imigati y'ingano,5629,5629,5629,4,4,Other food service activities,Other food service activities,Other food service activities,5629
Ubucuruzi budandaza ibiribwa,ubucuruzi budandaza ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBWUBATSI BW'AMAZU,ubwubatsi bw'amazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
Acuruza adandaza higanje ibyokurya,acuruza adandaza higanje ibyokurya,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Ubucuruzi budandaza bwiganjemo ibinyobwa,ubucuruzi budandaza bwiganjemo ibinyobwa,4722,4722,4722,4,4,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,4722
UBWUBATSI BW'AMAZU ASANZWE,ubwubatsi bw'amazu asanzwe,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
ubucuruzi budandaza,ubucuruzi budandaza,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUDANDAZI BWIGANJEMO IBIRIBWA (BOUTIQUE),ubudandazi bwiganjemo ibiribwa (boutique),4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
ubucuruzi bwiganjemo imyenda bukorerwa mu isoko,ubucuruzi bwiganjemo imyenda bukorerwa mu isoko,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
Kudandaza higanjemo imyenda(ibitenge&imyambaro isanzwe) n'inkweto,kudandaza higanjemo imyenda(ibitenge&imyambaro isanzwe) n'inkweto,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
ubucuruzi budandaza ibiribwa higanjemo amandazi,ubucuruzi budandaza ibiribwa higanjemo amandazi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
GUKORA GATEAU,gukora gateau,1071,1071,1071,4,4,Manufacture of bakery products,Manufacture of bakery products,Manufacture of bakery products,1071
Kudoda imyenda,kudoda imyenda,9529,9529,9529,4,4,Repair of other personal and household goods,Repair of other personal and household goods,Repair of other personal and household goods,9529
KUGURA UMUSARURO WIBIRAYI BYA COAIPU,kugura umusaruro wibirayi bya coaipu,9411,9411,9411,4,4, Activities of business and employers membership organizations,Activities of business and employers membership organizations, Activities of business and employers membership organizations,9411
Kudoda imyenda mishya no guhimba za model,kudoda imyenda mishya no guhimba za model,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
Ubucuruzi bw'ibiribwa,ubucuruzi bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
"ubudandazi bwiganjemo umunyu,isukari,isabune,umuceri , juice, biscuits, omo nibindi bijyanye na boutique","ubudandazi bwiganjemo umunyu,isukari,isabune,umuceri , juice, biscuits, omo nibindi bijyanye na boutique",4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
"Ubucuruzi budandaza ibiribwa bitandukanye higanjemo ibirayi,ibijumba n'imboga","ubucuruzi budandaza ibiribwa bitandukanye higanjemo ibirayi,ibijumba n'imboga",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubucuruzi bwinkweto,ubucuruzi bwinkweto,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBWUBATSI BW'AMAZU,ubwubatsi bw'amazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
alimantation idandaza icyayi amata nimigati detayi,alimantation idandaza icyayi amata nimigati detayi,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
ubudandazi bwibiribwa umuceri ubucosho,ubudandazi bwibiribwa umuceri ubucosho,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCURUZI BUDANDAZA IMYENDA Y'ABANA,ubucuruzi budandaza imyenda y'abana,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
Ubucuruzi budandaza ibitandukanye byiganjemo amavuta yo kwisiga,ubucuruzi budandaza ibitandukanye byiganjemo amavuta yo kwisiga,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
ubucuruzi buranguza ubuconsho,ubucuruzi buranguza ubuconsho,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
bacuruza ibintu bitandukanye higanjemo ibinyobwa,bacuruza ibintu bitandukanye higanjemo ibinyobwa,4722,4722,4722,4,4,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,4722
ubudandazi bwimboga mu isoko,ubudandazi bwimboga mu isoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
GUTUNGANYA IMISATSI YABANTU,gutunganya imisatsi yabantu,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
kohosha absyugana,kohosha absyugana,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
UBUCURUZI BUDANDAZA BITANDUKANYE,ubucuruzi budandaza bitandukanye,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
"Ubucuruzi bushyingiye ku ifu,umunyu","ubucuruzi bushyingiye ku ifu,umunyu",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
"ubucuruzi bwibiribwa  isukari,umuceri,amavuta,isabune,...","ubucuruzi bwibiribwa isukari,umuceri,amavuta,isabune,...",4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUDOZI BW'IMYENDA,ubudozi bw'imyenda,9529,9529,9529,4,4,Repair of other personal and household goods,Repair of other personal and household goods,Repair of other personal and household goods,9529
akabari kinzoga zidasembuye,akabari kinzoga zidasembuye,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
Gukina umukino wamahirwe kubaturage bawugana (ibiryabarezi),gukina umukino wamahirwe kubaturage bawugana (ibiryabarezi),9200,9200,9200,4,4,Gambling and betting activities,Gambling and betting activities,Gambling and betting activities,9200
UBUHINZI BWO GUTUNGA URUGO,ubuhinzi bwo gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBUCURUZI  BUDANDAZA AMAFI,ubucuruzi budandaza amafi,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
GUPIMA INZOGA MU KABARI,gupima inzoga mu kabari,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
ubucuruzi budandaza wibyubwubatsi,ubucuruzi budandaza wibyubwubatsi,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
UBUHINZI BW IBISHYIMBO,ubuhinzi bw ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
KUDANDAZA IBIRIBWA,kudandaza ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubucuruzi budandaza bwiganjemo  ibiribwa,ubucuruzi budandaza bwiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
acuruza ibintu bitandukanye harimo n'amata,acuruza ibintu bitandukanye harimo n'amata,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
IMIRIMO YO MU RUGO,imirimo yo mu rugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
UBUHINZI BW'IBISHYIMBO,ubuhinzi bw'ibishyimbo,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
gucuruza ibijyanye nubwubatsi,gucuruza ibijyanye nubwubatsi,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
ubucuruzi bw imyenda mwiduka,ubucuruzi bw imyenda mwiduka,4771,4771,4771,4,4,"Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores","Retail sale of clothing, footwear and leather articles in specialized stores",4771
Botike idandaza muri karitsiye,botike idandaza muri karitsiye,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
GUTUNGANYA IMISATSI,gutunganya imisatsi,9602,9602,9602,4,4,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,9602
"gusya ibiribwa imyumbati, ibigori... no gucuruza udandaza ifu y'ubugari","gusya ibiribwa imyumbati, ibigori... no gucuruza udandaza ifu y'ubugari",1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
UBUHINZI BW ICYAYI,ubuhinzi bw icyayi,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
gucuruza jus zitandukanye higanjemo fanta,gucuruza jus zitandukanye higanjemo fanta,5629,5629,5629,4,4,Other food service activities,Other food service activities,Other food service activities,5629
ubucuruzi bw'ubuconco,ubucuruzi bw'ubuconco,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
NATIONAL INSTITUTE OF STATISTICS OF RWANDA,national institute of statistics of rwanda,8413,8413,8413,4,4,Regulation of and contribution to more efficient operation of businesses,Regulation of and contribution to more efficient operation of businesses,Regulation of and contribution to more efficient operation of businesses,5555
"ububaji bw'intebe,ibitanda,utubati,amadirishya ni nzugi na ameza","ububaji bw'intebe,ibitanda,utubati,amadirishya ni nzugi na ameza",3100,3100,3100,4,4,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,3100
UBUHINZI BW IBIJUMBA,ubuhinzi bw ibijumba,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
Boutique idandaza yiganjemo umunyu n'isabune,boutique idandaza yiganjemo umunyu n'isabune,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
UBWUBATSI BW' AMAZU ASANZWE,ubwubatsi bw'amazu asanzwe,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
adandaza inkweto,adandaza inkweto,4782,4782,4782,4,4,"Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear","Retail sale via stalls and markets of textiles, clothing and footwear",4782
Gutanga ibinyobwa,gutanga ibinyobwa,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
