description,isic_code,isic_label,isic_description
ubucuruzi budandaza imyenda ivangavanze,4773,Other specialised shop,Other retail sale of new goods in specialized stores
ubucuruzi budandaza bwa boutique,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubudozi bwimyenda mubitambaro abakiriya,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
"gutanga, ibinyobwa",5630,Bars & beverage serving,Beverage serving activities
ubucuruzi kabari,5630,Bars & beverage serving,Beverage serving activities
ubucurunzi bundandaza ibiribwa bitandukanye higajemo ibishyimbo,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
Ni ugucuruza amasaka baranguza,4721,Specialised food shop,Retail sale of food in specialized stores
IMIRIMO YO KUGABURA MURI RESTAURENT,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUREZI MURI PRIMAIRE,8510,Primary education,Pre-primary and primary education
Ubudandazi bwi  lmyenda hamwe ninkweto higanjemo imyenda,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
"ubucuruzi budandaza higanjemo:amavuta,umuceri,biscuti nibindi",4719,"General shop, other goods",Other retail sale in non-specialized stores
UBUCURUZI BUDANDAZA BWIGANJEMO IMYENDA YABANA,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
ubucuruzi budandaza inkweto zaba gore,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
ubudozi bw'imyenda y'abagore,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
uburuzi budandaza bwimyaka,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kudandaza imiti y'abantu muri pharmacy,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
batanga service za restauration na bar,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUHINZI BWIBIJUMBA,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
"kubeta amasaka, ingano,",1061,Grain milling,Manufacture of grain mill products
kudandaza amavuta yo kwisiga na omo,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
ubucuruzi bwa boutique nto yiganjemo ibyokurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi bwibiryo n'ubuconco muri boutique,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"UBUCURUZI BWA CANTINE (AMATA,ICYAYI)",5610,Restaurants & food service,Restaurants and mobile food service activities
Kudandaza ibintu bitandukanye mu'iduka harimo ibiribwa n'ibinyobwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUHINZI BWAMATEKE,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
Ubucuruzi buranguza higanjemo ibyo kurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
gucuruza ibinyobwa byiganjemo icyayi,5610,Restaurants & food service,Restaurants and mobile food service activities
KUBIBA AMASAKA,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
Ubucuruzi budandaza ibyo kurya nibyo kunywa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Gucuruza uduconco,4721,Specialised food shop,Retail sale of food in specialized stores
b?utique icuruza indagara hamwe nubunyobwa kuri detaye,4721,Specialised food shop,Retail sale of food in specialized stores
Ubucuruzi budandaza bwiganjyemo ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI DUDANDAZA IBIBWA MU IDUKA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
adandaza ibiribwa nibinyobwa bitandukanye higanjemo ibinyobwa bisembuye,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwibyo kurya adandaza higanjemo umuceri nibindi,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi bwibiribwa: ifu , ibirayi , ishyimbo ,amavuta",4721,Specialised food shop,Retail sale of food in specialized stores
UBUCURUZI BW'URWAGWA MUKABARI,5630,Bars & beverage serving,Beverage serving activities
KUDODA IBIKAPU BISHYA,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
yogosha abagabo nabagore,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubucuruzi bw'inkweto,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
NYAKABYIZI MUBUHINZI IBISHYIMBO,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
ubudandazi bwubuconsho bwiganjemo ibiribwa ubugali ibirayi numuceli,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubudandazi bwa kabari higanjemo ibinyobwa,5630,Bars & beverage serving,Beverage serving activities
UBUDOZI BW' IMYENDA MISHYA NI SHAJE,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
kudandaza hibanda kubiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Kudandaza ibintu bitandukanye mu iduka higanjemo umunyu;amavuta;umuceri,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUHINZI BW AMASHAZA,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
Umurimo wingenzi nugusekura ifu,1061,Grain milling,Manufacture of grain mill products
"ubucuruzi akawunga,umuceri,juice",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi budandaza ibiribwa ahantu habugenewe higanjemo  amandazi, umuceri",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
uburezi bwamashuri 6 abanza,8510,Primary education,Pre-primary and primary education
UBUHINZI BWOROZI BUGAMIJE GUTUNGU URUGO,9810,Household own-use production,Undifferentiated goods-producing activities of private households for own use
ubucuruzu bw'inzoga urwagwa,5630,Bars & beverage serving,Beverage serving activities
UBUCURUZI BW'ACANTINE,5610,Restaurants & food service,Restaurants and mobile food service activities
gucuruza ibyo kunywa(Meraneza n'murava),5630,Bars & beverage serving,Beverage serving activities
Chop yiganjemo Imyenda n'inkweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
ubucuruzi bw imiti ikoreshwa m ubuhinzi n ubworozi,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
kudandaza imyenda yabana ya caguwa,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
kugabura urwarwa,5630,Bars & beverage serving,Beverage serving activities
ubudandazi bwa sima nibikoresho byubwubatsi,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
"gucuruza ibiribwa(ibirayi,umuceli,......)",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUCURUZI BUDANDAZA IMYENDA MWIDUKA,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
ubucuruzi bugabura ibinyobwa bidasembuye (umusurur,5630,Bars & beverage serving,Beverage serving activities
"kugurisha(intoryi,amandazi,imigati,ibirayi,jus)",4721,Specialised food shop,Retail sale of food in specialized stores
UBUREZI BW'AMASHURI Y'INCUKE N' ABANZA,8510,Primary education,Pre-primary and primary education
Akabari kimitobe,5630,Bars & beverage serving,Beverage serving activities
GUCURUZA IMITI Y'AMATUNGO NO GUTANGA INAMA K'UBWOROZI BW'AMATUNGO,4772,Pharmacy & cosmetics shop,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores"
"Ubudandazi bw' ubuconco bwiganjemo amakayi, inga n' amakaramu",4799,Street & mobile vending,"Other retail sale not in stores, stalls or markets"
SERVICES Z'UBWIZA,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
Ubudandazi bwimboga mwisoko,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"gucuruza ifu,isabune, ibibiriti umuceri",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"Ubudandazi bw'umunyu,isabune n'umuceri",4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi budandaza imiceri akawunga haromo nama juice nakawunga,4721,Specialised food shop,Retail sale of food in specialized stores
MUBUHINZI BUVANGAVANZE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
gucuruza tungurusumu,4721,Specialised food shop,Retail sale of food in specialized stores
KUDANDAZA IBINTU HIGANJEMO IBIRIBWA MU IDUKA,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi budandaza ibirayi n'ibitoki mu isoko,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUCURUZI BW'IBIRIBWA BUKORERWA MURI BUTIKI,4721,Specialised food shop,Retail sale of food in specialized stores
UMUHINZI BWIBIJUMBA,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
Ubucurizi bwibitenge,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
umurimo w'ingenzi ikigo gikora n'ubucuruzi bw'ubushera,5630,Bars & beverage serving,Beverage serving activities
Gutanga service yo kogosha,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
ubudandazi bwiganjemo ibiribwa bitekwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bw'ubudandaza bwinyanya nimboga,4721,Specialised food shop,Retail sale of food in specialized stores
KUDANDAZA IBYO KURYA MURI BUTIKE,4721,Specialised food shop,Retail sale of food in specialized stores
UBUDANDAZI BW' IMINEKE MWISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUDANDAZI BWIBIRIBWA BIBISI MU ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
ugupima urwagwa ni ikigage,5630,Bars & beverage serving,Beverage serving activities
UBUFURUZI BW'IBIKORESHO BIKORWA MUBWUBATSI,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
AROGOSHA AFITE IMASHINI IMWE,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
"ibiribwa byiganje : umuceri , akawunga , ibirayi byose bitetse kandi neza",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"gucuruza ibiribwa birimo ifu,umunyu nibindi",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi bw'ubucogocogo(ibirayi,amavuta yo kwisiga,amavuta yo kurya,umuceri,akawunga,amasabune,imyunyu)",4721,Specialised food shop,Retail sale of food in specialized stores
ubudandazi bwimyenda mu isoko,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
"Kudandaza imboga higanjemo dodo,inyanya poivron intoryi",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
kuranguza inzoga (sous depot),4630,Wholesale of food & drinks,"Wholesale of food, beverages and tobacco"
"ubucuru budandaza higanjemo Juices , biscuits, bodaboda, amavuta yo kwisiga ,amakaye , umuceri ,umwunyu ,amasabune ni bitenge",4719,"General shop, other goods",Other retail sale in non-specialized stores
Umucuruzi wimyenda,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
UBUDANDAZI BWUBUSHERA MUKABARI,5630,Bars & beverage serving,Beverage serving activities
KUDANDAZA IBIRIBWA MURI BOUTIQUE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"Ubucuruzi budandaza bwiganjemo inyanya,amandazi, ibishyimbo n'ibirayi",4721,Specialised food shop,Retail sale of food in specialized stores
KUGABURIRA ABANTU IBIRIBWA BIHIYE,5610,Restaurants & food service,Restaurants and mobile food service activities
"uhucuruzi budandaza ibiribwa bidahiye birimo ibirayi,ibitoki nibinyobwa bisembuye nibidasembuye",4721,Specialised food shop,Retail sale of food in specialized stores
GUCURUZA IBYO KUNYWA NO KURYA HIGANJEMO ICYAYI,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUREZI MUMASHURI ABANZA,8510,Primary education,Pre-primary and primary education
"ubucuruzi beibiribwa kawunga ,ibirayi umuceri, nibindi",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwinganjemo ibiribwa budandaza,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
KWAKIRA ABANTU NO KUBAGABURIRA HIGANJEMO AMATA ICYAYI,5610,Restaurants & food service,Restaurants and mobile food service activities
ubucuruzi bwu bwubatsi,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
UBUDANDAZI BW'IFU MU ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"Kugaburira abantu imigati,imineke icyayi",5610,Restaurants & food service,Restaurants and mobile food service activities
"Quantine icuruza ibiryo,icyayi,amandazi",5610,Restaurants & food service,Restaurants and mobile food service activities
Ni uruganda rukora amasabune,5630,Bars & beverage serving,Beverage serving activities
ubucuruzi budandaza bwiganjemo amakara,4773,Other specialised shop,Other retail sale of new goods in specialized stores
"ubucuruzi bw,imikati n'imineke",5610,Restaurants & food service,Restaurants and mobile food service activities
"gucuruza ibiryo bihiye,icyayi,amata",5610,Restaurants & food service,Restaurants and mobile food service activities
kugaburira abantu inzoga bita  urwunge,5630,Bars & beverage serving,Beverage serving activities
kwenga(gukora) ubushera no kubucuruza,5630,Bars & beverage serving,Beverage serving activities
Kudanzaza higanjemo imyenda nikweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
"GUCURUZA MU BURYO BUDANDAZA IBICURUZWA BYIGANJEMO IBIRIBWA NK'IBISHYIMBO,AMAFU ,IBIRAYI ,AMAVUTA",4719,"General shop, other goods",Other retail sale in non-specialized stores
Boutique idandaza ibintu bitadukanye muri butike,4719,"General shop, other goods",Other retail sale in non-specialized stores
UBUHINZI BW'IIBINGWA BITANDUKANYE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
BACURUZA IBISHEKE KURI DETAIL,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"ubucuruzi budandaza bwibiribwa  bwiganjemo( umuceri,umunyu,biscuit,akawunga.....)",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kudadandaza ibiribwa,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi bw'iinkweto z'abadamu na matelas,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
UBUDANDAZI W'IBITOKI MU ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
ubucuruzi bwinyobwa,4721,Specialised food shop,Retail sale of food in specialized stores
"kugurisha(ubuto,umuceri,inyanya,isabune)",4773,Other specialised shop,Other retail sale of new goods in specialized stores
GUTANGA IBINYOBWA KUBAKRIYA,5630,Bars & beverage serving,Beverage serving activities
Uburezi  mu mashuri mato na makuru primary na secondary,8510,Primary education,Pre-primary and primary education
Ubucuruzi budandaza imbada,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubudandazi bw'imyenda y'abagore,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
GUSURUZA INZOGA BAKORA MUBITOKI,5630,Bars & beverage serving,Beverage serving activities
kwigisha abana bo ymu mashuri abanza,8510,Primary education,Pre-primary and primary education
UBUCURUZI BW'UCONCO,4719,"General shop, other goods",Other retail sale in non-specialized stores
"ubucuruzi bwibintu bitandukanye nkamavuta yo kurya ayo kwisiga ,ibiribwa byoguteka ,ibikoresho ,imyenda yimbere",4773,Other specialised shop,Other retail sale of new goods in specialized stores
IBIKORESHO BY'UBWUBATSI,4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
"ubucuruzi bw,inyanya",4721,Specialised food shop,Retail sale of food in specialized stores
"ubucuruzi bw,ibiribwa byingenzi mu rugo",4721,Specialised food shop,Retail sale of food in specialized stores
Kuigisha indimi,5630,Bars & beverage serving,Beverage serving activities
KUGABURA INYAMA ZITETSE,5610,Restaurants & food service,Restaurants and mobile food service activities
GUCURUZA IMBUTO ZIRIBWA,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUDANDAZA BWA CANTINE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
SERVICES ZA CANTINE,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUHINZI BWIRIBWA BITANDUKANYE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
"ubucuruzi budandaza muri cartie bwiganjemo ibirayi,ifu ya kawunga,isukari",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUHINZI BWIBINYAMPEKE,0111,Growing cereals & legumes,"Growing of cereals (except rice), leguminous crops and oil seeds"
"UBUCURUZI BW'AKAWUNGA,BISWI,",4721,Specialised food shop,Retail sale of food in specialized stores
UBUDANDAZI BWIMYENDA,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
"cantine idandaza icyayi ,amandazi,nimigati",5610,Restaurants & food service,Restaurants and mobile food service activities
"ubucuruzi bw'ibiribwa (inyama, umunyu, amashu,...) muri boutique",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
UBUDANDAZI BW'IMYENDA BUKORERWS MU ISOKO,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
kudada ibinyobwa ni ibiribwa,4721,Specialised food shop,Retail sale of food in specialized stores
"kugurisha(mutzing,fanta,primus,jus)",5630,Bars & beverage serving,Beverage serving activities
KUDANDAZA IBITENGE,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
ubucuruzi bw'amafi mumazu,4721,Specialised food shop,Retail sale of food in specialized stores
"ubucuruzi budandaza bwiganjemo ibyo kurya:inyanya,igitoki,isukari,akawunga,umuceri,ubunyobwa,indagara,...",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"Ubucuruzi bw'ibiribwa muri boutique ntoya (umuceli,isukali)",4721,Specialised food shop,Retail sale of food in specialized stores
kudandaza ibijyendanye nibyo kurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
umudozi uciriritse udoda imyensa yo kwambara..,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
umurimo wo gutunganya imisatsi y'abadamu,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
KUDANDAZA  AMAFI,4721,Specialised food shop,Retail sale of food in specialized stores
KUDANDAZA INZOGA MU KABARI,5630,Bars & beverage serving,Beverage serving activities
kudandaza ibicuruzwa binyuranye,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bw'ibiryo byamatungo,4773,Other specialised shop,Other retail sale of new goods in specialized stores
ubucuruzi bw'amashuka nama essuime,4773,Other specialised shop,Other retail sale of new goods in specialized stores
Umurimo wingenzi n'ubudandazi bw'inzoga,5630,Bars & beverage serving,Beverage serving activities
barogosha bakanasuka bagaca inzara,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
gucuruza ubuconsho higanjemo ibyokurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
GUHUNGA IMYUMBATI,0113,Growing vegetables & tubers,"Growing of vegetables and melons, roots and tubers"
"acuruza imboga(inyanya,intoryi,ibitunguru) ibiribwa ibitoki n'ibirayi n'ibshyimbo",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubwogoshi bw""imisatsi yabantu",9602,Hairdressing & beauty,Hairdressing and other beauty treatment
AMASHRI Y'INSHUKE,8510,Primary education,Pre-primary and primary education
UBUCURUZI BW'ICYAYI N'AMANDAZI MURI CANTINE,5610,Restaurants & food service,Restaurants and mobile food service activities
kudandaza higanjemo ibiribwa,4721,Specialised food shop,Retail sale of food in specialized stores
adoda imyenda itanduka higanjemo iya abagore,1410,Tailoring & clothing making,"Manufacture of wearing apparel, except fur apparel"
AKABARI K'URWAGWA,5630,Bars & beverage serving,Beverage serving activities
BADANDAZA IMBOGA MW'ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
akabari bacuruza inzoga,5630,Bars & beverage serving,Beverage serving activities
Unucuruzi bwibiribwa muli butike,4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi budandaza bw'iganjemo ibyayi na mandazi,5610,Restaurants & food service,Restaurants and mobile food service activities
UBUDANDAZI BWIGANJEMO IBIRIBWA MURI BOTIKE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kudandaza higanjemo ibiribwa nibikoresho byisuku,4719,"General shop, other goods",Other retail sale in non-specialized stores
"UBUCURUZI BW'IBINYOBWA BIRIMO,IBYAYI,UBUSHERA N'IBINDI",5610,Restaurants & food service,Restaurants and mobile food service activities
kundandaza ibyayi,5610,Restaurants & food service,Restaurants and mobile food service activities
"Retail Sale of Hardware, Paints and Glass",4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
ubucurizi bukorera ahantu habugenewe ' inzoga y' ibitoki,5630,Bars & beverage serving,Beverage serving activities
Adandaza ibiribwa nibinyobwa bitandukanye higanjemo kawunga,4721,Specialised food shop,Retail sale of food in specialized stores
kudandaza imyenda ya caguwa mwisoko,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
gucuruza inzoga higanjemo icyigage,5630,Bars & beverage serving,Beverage serving activities
"ubucuruzi bwibiri bwa :(amakaroni umuceri akawunga  isabune,etc)",4773,Other specialised shop,Other retail sale of new goods in specialized stores
UBUDANDAZI BWIGANJEMO IBINYOBWA (GUPIMA IKIGAGE MUMASAKA BAKORA BURI MUNSI MUNZU BABAMO,5630,Bars & beverage serving,Beverage serving activities
"UBUDANDAZI BY'IMYAKA ;IBISHYIMBO ,AMASAKA",4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Adandaza ibintu bitandukanye higanjemo ibishyimbo,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi bwu buconco higanjemo amavuta yokwisiga,4719,"General shop, other goods",Other retail sale in non-specialized stores
ubucuzi bw'ibiribwa nibinyobwa(cantine),5610,Restaurants & food service,Restaurants and mobile food service activities
icyuma gitsa ifu,1061,Grain milling,Manufacture of grain mill products
gucuruza ubuconsho higanjemo imyunyu namavuta yokurya,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"ubucuruzi bwibiribwa,ubugari,kawunga",4721,Specialised food shop,Retail sale of food in specialized stores
"ubucuruzi bwibiribwa nkumuceri ,akawuna, ibikoresho bifashisha murugo nkamabasi,nibindi byamasuku nkamasabune nibindi",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
GUCURUZA IBINYOBWA MURI BAR,5630,Bars & beverage serving,Beverage serving activities
UBUREZI MU NSHUKE,8510,Primary education,Pre-primary and primary education
bacuruza karoti n'ibihaza,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUREZI BW'ABANA BINCUKE,8510,Primary education,Pre-primary and primary education
UBUDANDAZI BWIGANJEMO IBIRIBWA MURI BUTIKE,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
kudanza boutique,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"quencailleri icuruza ibikoresho by,ubwubatsi",4752,Hardware & paint shop,"Retail sale of hardware, paints and glass in specialized stores"
ubudandaza -bwibibiriti bougie,4773,Other specialised shop,Other retail sale of new goods in specialized stores
GUCURUZA IBINYOBWA BISEMBUYE MURI BAR,5630,Bars & beverage serving,Beverage serving activities
"Ubucuruzi bwibiribwa bitandukanye nkumuceri,akawunga,amavuta ubuto ,nibindi",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
gucuruza ibikoresho bitandukanye higanjemu ibicyenerwa mumago,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
ubucuruzi budzndaza matelas mwiduka,4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucurizi budandaza ibitunguru mu isoko,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Kugurisha ubushera,5630,Bars & beverage serving,Beverage serving activities
Ubwogoshi bw'imisatsi gusa,9602,Hairdressing & beauty,Hairdressing and other beauty treatment
Gucuruza beer,5630,Bars & beverage serving,Beverage serving activities
ubudandazi bwiganjemo amavuta yo kurya,4773,Other specialised shop,Other retail sale of new goods in specialized stores
ubudandazi bwiganjemo ubucuruzi bwikigange,5630,Bars & beverage serving,Beverage serving activities
Ubuconco/Kudandaza ibicuruzwa byiganjemo ibiribwa,4721,Specialised food shop,Retail sale of food in specialized stores
ubucuruzi bwugali,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
UBUDANDAZI BWIGANJEMO IBORIBWA (BOUTIQIE),4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi bw'imbuto budandaza mu isoko,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
Ubucuruzi bw'ubucuruzi bw'uruconco higanjemo ibyo kurya bidatetse,4721,Specialised food shop,Retail sale of food in specialized stores
Kudandaza ibinyobwa bisembuye mu kabari,5630,Bars & beverage serving,Beverage serving activities
UBUCURUZI BUDANDAZA IMYENDA MW'ISOKO,4782,Market stall: clothing,"Retail sale via stalls and markets of textiles, clothing and footwear"
"ubucuruzi budandaza bwibiribwa bwiganjemo umuceri,ibirayi,amajus,amavuta yo kwisiga,...",4721,Specialised food shop,Retail sale of food in specialized stores
KUDANDA IMBOGA MU ISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
GUCURUZA IBYO KURYA,5610,Restaurants & food service,Restaurants and mobile food service activities
ubucuruzi bwinjweto,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
"gucuruza ubuconsho higanjemo imyunyu,amafu yokurya, namavuta yokurya",4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
GUCURUZA ALIMENTATION,4711,"General shop, mainly food","Retail sale in non-specialized stores with food, beverages or tobacco predominating"
Ubucuruzi budandaza higanjemo ifu yi igikoma ni ibirayi ni indagara,4773,Other specialised shop,Other retail sale of new goods in specialized stores
Umucuruzi w' indagara,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
KUDANDAZA AMAFI MWISOKO,4781,Market stall: food & drinks,"Retail sale via stalls and markets of food, beverages and tobacco products"
BAKORA UBUCURUZI BW'UBUCONCO HIGANJEMO IMBABURA,4719,"General shop, other goods",Other retail sale in non-specialized stores
Ubucuruzi budandaza higanjemo Akawunga,4773,Other specialised shop,Other retail sale of new goods in specialized stores
KUDANDAZA IBINTU BITANDUKANYE BYINGANJE INKWETO NI MYENDA,4771,Clothing & shoe shop,"Retail sale of clothing, footwear and leather articles in specialized stores"
